salary,district,code,sex
30300.57,LODZKIE,Specjaliści,Kobieta
26240.7,LODZKIE,Pracownicy biurowi,Kobieta
35696.25,LODZKIE,Pracownicy biurowi,Kobieta
32359.13,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Kobieta
85497.65,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
42950.7,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
41101.03,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
26842.81,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
27951.88,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Kobieta
21285.24,KUJAWSKO-POMORSKIE,Pracownicy wykonujący prace proste,Kobieta
25038.51,KUJAWSKO-POMORSKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
58071.58,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
70543.61,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
131974.48,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
64144.55,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
25133.87,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Mezczyzna
48653.26,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
47084.18,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
15021.06,KUJAWSKO-POMORSKIE,Pracownicy wykonujący prace proste,Mezczyzna
4486.19,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
29039.49,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Mezczyzna
33234.92,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Kobieta
65730.33,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
24402.13,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
33699.44,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
31929.51,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
56109.75,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
21067.82,KUJAWSKO-POMORSKIE,Pracownicy wykonujący prace proste,Mezczyzna
19774.84,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
83452.91,MAZOWIECKIE,Specjaliści,Mezczyzna
34376.73,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
36867.58,MAZOWIECKIE,Specjaliści,Mezczyzna
50962.76,MAZOWIECKIE,Specjaliści,Kobieta
32453.51,MAZOWIECKIE,Pracownicy biurowi,Kobieta
30943.95,MAZOWIECKIE,Specjaliści,Kobieta
102438.74,MAZOWIECKIE,Specjaliści,Mezczyzna
46336.29,MAZOWIECKIE,Specjaliści,Kobieta
56757.72,MAZOWIECKIE,Specjaliści,Mezczyzna
39471.29,MAZOWIECKIE,Specjaliści,Kobieta
34436.61,MAZOWIECKIE,Specjaliści,Kobieta
12739.18,MAZOWIECKIE,Pracownicy wykonujący prace proste,Kobieta
42711.53,MAZOWIECKIE,Specjaliści,Mezczyzna
65688.28,MAZOWIECKIE,Specjaliści,Kobieta
66340.13,MAZOWIECKIE,Specjaliści,Mezczyzna
48470.67,MAZOWIECKIE,Specjaliści,Kobieta
210558.24,MAZOWIECKIE,Specjaliści,Kobieta
38395.48,MAZOWIECKIE,Pracownicy wykonujący prace proste,Mezczyzna
59489.78,MAZOWIECKIE,Specjaliści,Mezczyzna
31000.42,MAZOWIECKIE,Specjaliści,Kobieta
69777.61,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
35063.59,MAZOWIECKIE,Specjaliści,Kobieta
190203.69,MAZOWIECKIE,Specjaliści,Kobieta
55581.42,MAZOWIECKIE,Specjaliści,Mezczyzna
24586.92,MAZOWIECKIE,Pracownicy biurowi,Kobieta
143735.42,MAZOWIECKIE,Specjaliści,Kobieta
102077.97,MAZOWIECKIE,Specjaliści,Mezczyzna
35189.21,MAZOWIECKIE,Specjaliści,Mezczyzna
32849.47,MAZOWIECKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
63205.24,MAZOWIECKIE,Specjaliści,Mezczyzna
33138.87,MAZOWIECKIE,Specjaliści,Mezczyzna
63881.13,MAZOWIECKIE,Specjaliści,Mezczyzna
54554.12,MAZOWIECKIE,Specjaliści,Kobieta
94998.33,MAZOWIECKIE,Specjaliści,Mezczyzna
30178.58,MAZOWIECKIE,Specjaliści,Kobieta
120446.65,LODZKIE,Specjaliści,Kobieta
30632.23,LODZKIE,Specjaliści,Kobieta
51469.2,LODZKIE,Specjaliści,Mezczyzna
83481.15,LODZKIE,Specjaliści,Mezczyzna
56705.48,LODZKIE,Specjaliści,Mezczyzna
145131.7,LODZKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
45836.05,LODZKIE,Specjaliści,Kobieta
60070.01,LODZKIE,Specjaliści,Mezczyzna
10132.66,LODZKIE,Pracownicy wykonujący prace proste,Mezczyzna
18583.99,LODZKIE,Pracownicy wykonujący prace proste,Kobieta
62684.38,LODZKIE,Specjaliści,Kobieta
24440.26,LODZKIE,Technicy i inny średni personel,Mezczyzna
62859.98,LODZKIE,Specjaliści,Mezczyzna
53179.06,LODZKIE,Specjaliści,Mezczyzna
19348.52,LODZKIE,Pracownicy biurowi,Mezczyzna
72510.41,LODZKIE,Specjaliści,Mezczyzna
20925.27,LODZKIE,Specjaliści,Kobieta
87255.0,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
51321.13,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
39078.41,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
90396.04,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
6760.29,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Mezczyzna
6138.37,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
27364.47,KUJAWSKO-POMORSKIE,Pracownicy wykonujący prace proste,Kobieta
51625.15,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
12127.87,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Mezczyzna
34728.41,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
43137.81,MAZOWIECKIE,Pracownicy biurowi,Kobieta
37068.33,MAZOWIECKIE,Specjaliści,Kobieta
47952.95,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
58764.71,MAZOWIECKIE,Specjaliści,Mezczyzna
55306.46,MAZOWIECKIE,Specjaliści,Kobieta
44902.23,MAZOWIECKIE,Specjaliści,Kobieta
63804.55,MAZOWIECKIE,Pracownicy biurowi,Kobieta
27729.5,MAZOWIECKIE,Pracownicy usług i sprzedawcy,Mezczyzna
14399.79,MAZOWIECKIE,Pracownicy biurowi,Kobieta
34500.96,MAZOWIECKIE,Specjaliści,Kobieta
72456.63,MAZOWIECKIE,Specjaliści,Kobieta
27810.49,MAZOWIECKIE,Pracownicy usług i sprzedawcy,Mezczyzna
17254.62,MAZOWIECKIE,Pracownicy wykonujący prace proste,Mezczyzna
35327.43,MAZOWIECKIE,Specjaliści,Mezczyzna
33065.91,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
18274.87,MAZOWIECKIE,Specjaliści,Mezczyzna
26813.46,MAZOWIECKIE,Specjaliści,Mezczyzna
10295.87,MAZOWIECKIE,Specjaliści,Mezczyzna
46865.74,MAZOWIECKIE,Specjaliści,Mezczyzna
19586.82,MAZOWIECKIE,Specjaliści,Mezczyzna
42598.42,MAZOWIECKIE,Specjaliści,Mezczyzna
40481.28,MAZOWIECKIE,Specjaliści,Mezczyzna
11342.28,MAZOWIECKIE,Specjaliści,Mezczyzna
111027.29,MAZOWIECKIE,Specjaliści,Kobieta
62012.75,MAZOWIECKIE,Specjaliści,Kobieta
80572.94,MAZOWIECKIE,Specjaliści,Kobieta
78689.78,MAZOWIECKIE,Specjaliści,Mezczyzna
77848.81,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
76986.96,MAZOWIECKIE,Specjaliści,Kobieta
81434.12,MAZOWIECKIE,Specjaliści,Kobieta
138500.85,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
47241.79,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
87099.18,MAZOWIECKIE,Specjaliści,Kobieta
67135.68,MAZOWIECKIE,Specjaliści,Mezczyzna
49782.28,MAZOWIECKIE,Specjaliści,Kobieta
126943.82,MAZOWIECKIE,Specjaliści,Kobieta
58627.26,MAZOWIECKIE,Specjaliści,Kobieta
95984.53,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
31177.37,MAZOWIECKIE,Specjaliści,Kobieta
126793.27,MAZOWIECKIE,Specjaliści,Kobieta
100839.89,MAZOWIECKIE,Specjaliści,Mezczyzna
99215.65,MAZOWIECKIE,Specjaliści,Mezczyzna
64368.56,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
94709.06,MAZOWIECKIE,Specjaliści,Kobieta
82539.55,MAZOWIECKIE,Specjaliści,Kobieta
411000.96,MAZOWIECKIE,Specjaliści,Kobieta
103423.39,MAZOWIECKIE,Specjaliści,Mezczyzna
122948.19,MAZOWIECKIE,Specjaliści,Kobieta
74076.17,MAZOWIECKIE,Specjaliści,Mezczyzna
65460.5,MAZOWIECKIE,Specjaliści,Kobieta
66074.73,MAZOWIECKIE,Pracownicy biurowi,Mezczyzna
69094.75,MAZOWIECKIE,Specjaliści,Mezczyzna
52611.62,MAZOWIECKIE,Specjaliści,Kobieta
207136.69,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
75120.18,MAZOWIECKIE,Specjaliści,Mezczyzna
68192.42,MAZOWIECKIE,Specjaliści,Kobieta
34238.93,MAZOWIECKIE,Specjaliści,Kobieta
70285.71,MAZOWIECKIE,Specjaliści,Mezczyzna
151489.42,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
138549.76,MAZOWIECKIE,Specjaliści,Kobieta
54267.52,MAZOWIECKIE,Specjaliści,Kobieta
28103.39,MAZOWIECKIE,Specjaliści,Kobieta
64357.2,MAZOWIECKIE,Specjaliści,Mezczyzna
48195.74,MAZOWIECKIE,Specjaliści,Kobieta
94562.9,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
58047.44,MAZOWIECKIE,Specjaliści,Kobieta
186561.96,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
21255.25,MAZOWIECKIE,Specjaliści,Kobieta
320751.83,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
538895.36,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
79558.36,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
49126.91,MAZOWIECKIE,Specjaliści,Kobieta
138197.09,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
35859.51,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
77562.87,MAZOWIECKIE,Specjaliści,Kobieta
41532.75,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
65067.3,MAZOWIECKIE,Specjaliści,Mezczyzna
63342.84,MAZOWIECKIE,Specjaliści,Kobieta
48262.13,MAZOWIECKIE,Specjaliści,Kobieta
54286.41,MAZOWIECKIE,Specjaliści,Mezczyzna
94321.97,MAZOWIECKIE,Specjaliści,Kobieta
47645.27,MAZOWIECKIE,Specjaliści,Mezczyzna
21073.35,MAZOWIECKIE,Specjaliści,Kobieta
44457.37,MAZOWIECKIE,Specjaliści,Kobieta
18462.36,MAZOWIECKIE,Pracownicy biurowi,Mezczyzna
37752.98,MAZOWIECKIE,Pracownicy biurowi,Kobieta
50258.88,LODZKIE,Specjaliści,Mezczyzna
47829.51,LODZKIE,Specjaliści,Kobieta
57415.21,MAZOWIECKIE,Specjaliści,Kobieta
40696.34,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
76273.37,LODZKIE,Pracownicy biurowi,Mezczyzna
56087.1,MAZOWIECKIE,Specjaliści,Kobieta
32741.98,MAZOWIECKIE,Specjaliści,Mezczyzna
37482.6,MAZOWIECKIE,Specjaliści,Kobieta
18473.06,MAZOWIECKIE,Specjaliści,Mezczyzna
12066.83,MAZOWIECKIE,Specjaliści,Kobieta
64980.29,MAZOWIECKIE,Specjaliści,Kobieta
64979.98,MAZOWIECKIE,Specjaliści,Kobieta
21783.74,MAZOWIECKIE,Specjaliści,Kobieta
71493.92,MAZOWIECKIE,Specjaliści,Kobieta
109395.47,MAZOWIECKIE,Specjaliści,Kobieta
168435.0,MAZOWIECKIE,Specjaliści,Mezczyzna
32210.76,MAZOWIECKIE,Specjaliści,Kobieta
46809.34,MAZOWIECKIE,Specjaliści,Kobieta
142032.86,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
53790.71,MAZOWIECKIE,Specjaliści,Kobieta
355182.63,MAZOWIECKIE,Specjaliści,Mezczyzna
158110.62,MAZOWIECKIE,Specjaliści,Mezczyzna
54164.1,MAZOWIECKIE,Specjaliści,Kobieta
81981.29,MAZOWIECKIE,Specjaliści,Mezczyzna
32547.0,MAZOWIECKIE,Specjaliści,Kobieta
45354.64,MAZOWIECKIE,Specjaliści,Kobieta
77479.89,MAZOWIECKIE,Specjaliści,Mezczyzna
23126.14,MAZOWIECKIE,Specjaliści,Mezczyzna
327868.23,LODZKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
56575.14,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
43033.32,MAZOWIECKIE,Pracownicy biurowi,Kobieta
13303.44,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
49260.77,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
28727.66,MAZOWIECKIE,Pracownicy biurowi,Kobieta
38685.87,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
23523.04,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
23325.52,MAZOWIECKIE,Pracownicy biurowi,Kobieta
73343.49,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
34443.04,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
9332.44,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
303072.72,MAZOWIECKIE,Specjaliści,Mezczyzna
68154.86,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
713.42,MAZOWIECKIE,Specjaliści,Mezczyzna
51673.55,MAZOWIECKIE,Pracownicy biurowi,Kobieta
7687.87,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
95730.92,MAZOWIECKIE,Specjaliści,Mezczyzna
30650.17,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
22770.94,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
11776.01,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
57322.98,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
43405.46,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
30217.2,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
35884.5,KUJAWSKO-POMORSKIE,Specjaliści,Kobieta
19941.41,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
28717.78,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Mezczyzna
50961.26,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
25126.44,LODZKIE,Technicy i inny średni personel,Mezczyzna
28414.19,LODZKIE,Technicy i inny średni personel,Kobieta
27573.22,LODZKIE,Technicy i inny średni personel,Kobieta
20969.61,LODZKIE,Technicy i inny średni personel,Kobieta
31619.59,LODZKIE,Technicy i inny średni personel,Kobieta
22639.65,LODZKIE,Technicy i inny średni personel,Kobieta
24219.58,LODZKIE,Technicy i inny średni personel,Kobieta
21358.1,LODZKIE,Technicy i inny średni personel,Kobieta
27502.97,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
13469.67,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
36715.39,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
34738.35,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
35036.72,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
35366.25,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
34738.09,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
37035.2,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
36480.47,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
32006.11,MAZOWIECKIE,Operatorzy i monterzy maszyn i urządzeń,Mezczyzna
53509.99,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
67361.82,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
32367.3,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
21689.64,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
49791.82,MAZOWIECKIE,Specjaliści,Mezczyzna
37453.13,MAZOWIECKIE,Operatorzy i monterzy maszyn i urządzeń,Mezczyzna
31579.7,MAZOWIECKIE,Specjaliści,Mezczyzna
13514.86,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
36595.03,MAZOWIECKIE,Specjaliści,Kobieta
32124.44,MAZOWIECKIE,Specjaliści,Mezczyzna
30450.51,MAZOWIECKIE,Specjaliści,Kobieta
44731.2,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
40935.57,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
28906.62,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
29129.95,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
32516.08,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
34443.79,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
28790.51,MAZOWIECKIE,Pracownicy biurowi,Kobieta
30463.58,MAZOWIECKIE,Pracownicy biurowi,Kobieta
24961.68,MAZOWIECKIE,Pracownicy biurowi,Kobieta
29076.64,MAZOWIECKIE,Pracownicy biurowi,Kobieta
36770.96,MAZOWIECKIE,Pracownicy biurowi,Kobieta
29280.31,MAZOWIECKIE,Pracownicy biurowi,Kobieta
32779.26,MAZOWIECKIE,Pracownicy biurowi,Kobieta
34192.5,MAZOWIECKIE,Pracownicy biurowi,Kobieta
28033.26,MAZOWIECKIE,Pracownicy biurowi,Kobieta
26715.5,MAZOWIECKIE,Pracownicy biurowi,Kobieta
33693.31,LODZKIE,Technicy i inny średni personel,Kobieta
41950.16,LODZKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
29129.78,LODZKIE,Technicy i inny średni personel,Kobieta
14288.48,LODZKIE,Pracownicy biurowi,Kobieta
34401.41,LODZKIE,Technicy i inny średni personel,Kobieta
29880.67,LODZKIE,Technicy i inny średni personel,Kobieta
65244.65,LODZKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
36533.4,LODZKIE,Specjaliści,Kobieta
29156.4,LODZKIE,Technicy i inny średni personel,Kobieta
41532.81,LODZKIE,Specjaliści,Kobieta
55202.76,LODZKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
33213.37,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
35982.0,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
51014.13,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
37898.52,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
34379.69,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
36465.44,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
33756.22,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
45053.9,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
46196.25,KUJAWSKO-POMORSKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
34395.25,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
26666.32,KUJAWSKO-POMORSKIE,Technicy i inny średni personel,Kobieta
35744.55,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
38541.35,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
29232.72,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
40879.89,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
36608.37,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
31748.01,MAZOWIECKIE,Specjaliści,Mezczyzna
22381.02,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
28249.57,MAZOWIECKIE,Technicy i inny średni personel,Mezczyzna
43723.96,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
29621.41,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
37611.54,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
33320.51,MAZOWIECKIE,Pracownicy biurowi,Kobieta
66786.47,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
25428.74,MAZOWIECKIE,Specjaliści,Mezczyzna
92885.51,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Mezczyzna
20246.7,MAZOWIECKIE,Specjaliści,Kobieta
40375.35,MAZOWIECKIE,Pracownicy biurowi,Kobieta
21602.46,MAZOWIECKIE,Pracownicy wykonujący prace proste,Kobieta
21698.73,LODZKIE,Specjaliści,Mezczyzna
19022.63,LODZKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
75955.11,MAZOWIECKIE,Specjaliści,Mezczyzna
21616.44,MAZOWIECKIE,Technicy i inny średni personel,Kobieta
58595.18,MAZOWIECKIE,Specjaliści,Kobieta
24548.6,MAZOWIECKIE,Pracownicy wykonujący prace proste,Kobieta
23332.23,KUJAWSKO-POMORSKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
37386.79,KUJAWSKO-POMORSKIE,Specjaliści,Mezczyzna
18793.18,KUJAWSKO-POMORSKIE,Pracownicy biurowi,Kobieta
21567.16,KUJAWSKO-POMORSKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
22150.04,KUJAWSKO-POMORSKIE,Pracownicy wykonujący prace proste,Mezczyzna
22485.36,KUJAWSKO-POMORSKIE,Robotnicy przemysłowi i rzemieślnicy,Mezczyzna
44952.24,MAZOWIECKIE,Specjaliści,Mezczyzna
29658.7,MAZOWIECKIE,Specjaliści,Mezczyzna
64941.68,MAZOWIECKIE,Specjaliści,Mezczyzna
22893.7,MAZOWIECKIE,Pracownicy wykonujący prace proste,Kobieta
23963.74,LODZKIE,Pracownicy usług i sprzedawcy,Kobieta
21911.2,LODZKIE,Pracownicy usług i sprzedawcy,Mezczyzna
26271.95,LODZKIE,Pracownicy usług i sprzedawcy,Mezczyzna
64562.44,MAZOWIECKIE,"Przedstawiciele władz publicznych, wyżsi urzędnicy i kierownicy",Kobieta
24054.29,MAZOWIECKIE,Operatorzy i monterzy maszyn i urządzeń,Mezczyzna
45302.13,MAZOWIECKIE,Specjaliści,Mezczyzna
37276.68,MAZOWIECKIE,Specjaliści,Mezczyzna
52143.94,MAZOWIECKIE,Specjaliści,Kobieta
